length general mean,length general var,length IG mean,length IG var,length IF mean,length IF var,lexical general mean,lexical general var,lexical IG mean,lexical IG var,lexical IF mean,lexical IF var,form general mean,form general var,form IG mean,form IG var,form IF mean,form IF var,success,confidence,language,move ID
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(237, 260)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(3211, 3239)"
0.152,0.0,0.17,0.001,0.212,0.0,0.214,0.0,0.214,0.0,nan,nan,0.756,0.0,0.75,0.0,0.8,0.0,1,1,german,"FTT_2006-06-22pair2_refexps.p(4938, 5360)"
0.175,0.025,0.219,0.013,0.105,0.0,0.0,0.0,0.0,0.0,nan,nan,0.444,0.198,0.375,0.141,1.0,0.0,1,4,german,"FTT_2006-06-22pair2_refexps.p(5361, 5495)"
-0.429,0.0,-0.429,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,1,4,german,"FTT_2006-03-28pair2_refexps.p(133, 176)"
-0.058,0.0,-0.085,0.002,-0.125,0.0,0.467,0.018,0.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,2,german,"FTT_2006-03-28pair2_refexps.p(2376, 2435)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(5033, 5067)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair2_refexps.p(5640, 5688)"
-0.001,0.043,-0.006,0.042,0.062,0.05,0.197,0.035,0.24,0.05,0.0,0.0,0.735,0.143,0.75,0.15,0.667,0.0,1,4,german,"FTT_2006-03-27Pair1_refexps.p(2082, 2354)"
0.251,0.0,0.207,0.006,0.077,0.0,0.167,0.083,0.25,0.188,0.5,0.0,0.875,0.047,1.0,0.0,0.0,0.0,1,4,german,"FTT_2006-06-22pair1_refexps.p(333, 392)"
0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,1,4,german,"FTT_2006-03-27Pair1_refexps.p(3032, 3049)"
0.177,0.021,-0.231,0.036,-0.385,0.0,0.8,0.027,1.0,0.0,0.0,0.0,0.8,0.027,1.0,0.0,0.5,0.0,0,2,german,"FTT_2006-06-22pair1_refexps.p(687, 877)"
-0.038,0.001,0.043,0.001,0.043,0.001,0.2,0.16,0.0,0.0,1.0,0.0,0.8,0.027,1.0,0.0,0.625,0.047,-1,1,german,"FTT_2006-03-28pair2_refexps.p(276, 453)"
0.0,0.0,0.0,0.0,nan,nan,0.5,0.0,0.5,0.0,nan,nan,1.0,0.0,1.0,0.0,nan,nan,0,3,german,"FTT_2006-03-28pair2_refexps.p(2342, 2375)"
0.277,0.001,0.176,0.04,-0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.001,0.714,0.0,0.0,0.0,-1,1,german,"FTT_2006-03-28pair2_refexps.p(1, 132)"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,4,german,"FTT_2006-06-22pair1_refexps.p(5101, 5143)"
0.6,0.0,0.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,0.0,nan,nan,-1,3,german,"FTT_2006-06-22pair1_refexps.p(1581, 1605)"
0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0,2,german,"FTT_2006-03-27Pair1_refexps.p(3050, 3165)"
0.309,0.0,0.309,0.0,nan,nan,0.4,0.0,0.4,0.0,nan,nan,0.6,0.0,0.6,0.0,nan,nan,1,4,german,"FTT_2006-03-27Pair1_refexps.p(2750, 2814)"
0.013,0.008,0.05,0.018,0.162,0.007,0.704,0.044,0.663,0.125,0.552,0.16,0.974,0.002,0.973,0.002,0.952,0.002,0,3,german,"FTT_2006-06-22pair1_refexps.p(3672, 4291)"
0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.5,0.0,0.5,0.0,nan,nan,0,3,german,"FTT_2006-06-22pair1_refexps.p(2322, 2337)"
